集計上の作物分類,作物名,用途,登録番号,農薬の種類,農薬の名称,適用病害虫雑草名,使用方法
稲,直播水稲,殺菌剤,18755,フェリムゾン・フサライド水和剤,ホクコーブラシンゾル,内穎褐変病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,18755,フェリムゾン・フサライド水和剤,ホクコーブラシンゾル,穂枯れ（ごま葉枯病菌）,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,19024,バリダマイシン・フェリムゾン・フサライド水和剤,ホクコーブラシンバリダゾル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,19024,バリダマイシン・フェリムゾン・フサライド水和剤,ホクコーブラシンバリダゾル,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,18632,フサライド水和剤,ホクコーラブサイドフロアブル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,19310,フルトラニル粒剤,モンカット１キロ粒剤２１,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,16706,フルトラニル水和剤,モンカットフロアブル,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,17206,フサライド・フルトラニル水和剤,モンカットラブサイド２０フロアブル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,17206,フサライド・フルトラニル水和剤,モンカットラブサイド２０フロアブル,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,21782,シメコナゾール粒剤,モンガリット１キロ粒剤,稲こうじ病,無人航空機による散布
稲,直播水稲,殺菌剤,21782,シメコナゾール粒剤,モンガリット１キロ粒剤,墨黒穂病,無人航空機による散布
稲,直播水稲,殺菌剤,21782,シメコナゾール粒剤,モンガリット１キロ粒剤,紋枯病,無人航空機による散布
稲,直播水稲,殺菌剤,16137,ペンシクロン水和剤,モンセレンフロアブル,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,24394,バリダマイシン・フサライド水和剤,ラブサイドバリダフロアブル,いもち病,無人航空機による散布
稲,直播水稲,殺菌剤,24394,バリダマイシン・フサライド水和剤,ラブサイドバリダフロアブル,紋枯病,無人航空機による散布
稲,直播水稲,殺菌剤,18629,フサライド水和剤,ラブサイドフロアブル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,21785,アゾキシストロビン水和剤,協友アミスターエイト,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,21785,アゾキシストロビン水和剤,協友アミスターエイト,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,21986,ペンシクロン水和剤,協友モンセレンフロアブル,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,21658,フサライド水和剤,協友ラブサイドフロアブル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,21662,フサライド・ペンシクロン水和剤,協友ラブサイドモンセレンフロアブル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,21662,フサライド・ペンシクロン水和剤,協友ラブサイドモンセレンフロアブル,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,16863,フルトラニル水和剤,日産モンカットフロアブル,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
